Delivery Start (CET);Delivery End (CET);SE1 High Price (EUR/MWh);SE1 Low Price (EUR/MWh);SE1 Open Price (EUR/MWh);SE1 Close Price (EUR/MWh);SE1 Average Price (EUR/MWh);SE1 Volume (MW);SE1 Buy Volume (MW);SE1 Sell Volume (MW);SE1 Average Price Last 3 H (EUR/MWh);SE1 Open Trade Time (CET);SE1 Close Trade Time (CET);SE2 High Price (EUR/MWh);SE2 Low Price (EUR/MWh);SE2 Open Price (EUR/MWh);SE2 Close Price (EUR/MWh);SE2 Average Price (EUR/MWh);SE2 Volume (MW);SE2 Buy Volume (MW);SE2 Sell Volume (MW);SE2 Average Price Last 3 H (EUR/MWh);SE2 Open Trade Time (CET);SE2 Close Trade Time (CET);SE3 High Price (EUR/MWh);SE3 Low Price (EUR/MWh);SE3 Open Price (EUR/MWh);SE3 Close Price (EUR/MWh);SE3 Average Price (EUR/MWh);SE3 Volume (MW);SE3 Buy Volume (MW);SE3 Sell Volume (MW);SE3 Average Price Last 3 H (EUR/MWh);SE3 Open Trade Time (CET);SE3 Close Trade Time (CET);SE4 High Price (EUR/MWh);SE4 Low Price (EUR/MWh);SE4 Open Price (EUR/MWh);SE4 Close Price (EUR/MWh);SE4 Average Price (EUR/MWh);SE4 Volume (MW);SE4 Buy Volume (MW);SE4 Sell Volume (MW);SE4 Average Price Last 3 H (EUR/MWh);SE4 Open Trade Time (CET);SE4 Close Trade Time (CET)
01.01.2024 10:00:00;01.01.2024 11:00:00;53.5;25;25;53.5;42.77;40.7;18.4;22.3;48.87;31.12.2023 16:47:38;01.01.2024 08:56:19;56.6;17;17;56.6;38.64;276.5;132.8;156.7;48.28;31.12.2023 15:03:48;01.01.2024 08:59:00;53.5;17;35;53.5;41.41;339.7;283.4;60.7;48.87;31.12.2023 15:02:12;01.01.2024 08:56:19;49.79;43.51;47.2;47.68;47.43;116.8;7;109.8;47.66;01.01.2024 05:10:26;01.01.2024 08:39:57
01.01.2024 11:00:00;01.01.2024 12:00:00;53.24;43.51;43.51;46.99;48.06;44.3;38.3;6;51.63;31.12.2023 19:54:14;01.01.2024 09:57:52;53.57;17;17;52;38.98;222.7;85.4;138.7;50.58;31.12.2023 15:03:48;01.01.2024 09:59:11;54.3;17;35;52;42.35;325.7;283.6;44.7;50.43;31.12.2023 15:02:12;01.01.2024 09:59:12;55.46;45.9;45.9;53.24;50.43;88.7;7.9;82.2;50.87;01.01.2024 05:20:23;01.01.2024 09:56:20
01.01.2024 12:00:00;01.01.2024 13:00:00;65.6;43.02;43.02;65.24;49.37;131.4;9.1;122.7;62.27;31.12.2023 19:54:14;01.01.2024 10:56:21;76;42.02;42.02;57.77;52.43;201;142.1;63.1;60.48;31.12.2023 15:00:10;01.01.2024 10:59:22;76;44;44;59.3;61.56;207.9;111.6;105.7;61.96;01.01.2024 05:47:29;01.01.2024 10:59:49;76;46.8;46.8;65.24;54.05;111.4;3.1;109.3;60.49;01.01.2024 06:43:18;01.01.2024 10:56:21
01.01.2024 13:00:00;01.01.2024 14:00:00;57.66;11.9;52.45;50;51.74;65.5;45.7;19.8;51.59;01.01.2024 08:28:09;01.01.2024 11:59:45;76.18;-1.7;43.29;50;38.64;229;160.4;75.8;33.69;31.12.2023 15:00:09;01.01.2024 11:59:45;76.18;-4.03;44.29;45;40.15;343;246.3;124.7;30.51;31.12.2023 15:00:05;01.01.2024 11:59:44;76.18;-4.03;49.54;50;51.19;121.6;8.3;114.3;50.87;01.01.2024 08:11:04;01.01.2024 11:59:45
01.01.2024 14:00:00;01.01.2024 15:00:00;59.55;28.5;51;51.48;50.54;45.8;16.9;28.9;49.09;01.01.2024 08:58:57;01.01.2024 12:54:02;62.84;28.5;46.24;54.4;46.79;114.7;101.6;20.9;46.77;31.12.2023 20:22:10;01.01.2024 12:59:03;59.55;28.5;46.24;54.4;50.28;221;188.5;35.2;48.46;31.12.2023 15:00:05;01.01.2024 12:59:03;58.65;28.5;55;56.9;52.46;106.5;13.4;97.4;49.74;01.01.2024 09:05:15;01.01.2024 12:56:08
01.01.2024 15:00:00;01.01.2024 16:00:00;67.61;50.61;50.61;67.61;56.02;207.7;113.9;93.8;63.14;31.12.2023 19:54:14;01.01.2024 13:56:08;67.98;50.61;50.61;66;57.7;271.7;164.2;115.5;61.97;31.12.2023 19:54:14;01.01.2024 13:59:54;68.26;55.6;59;67.98;60.52;196.3;174.2;22.1;63.55;31.12.2023 15:00:05;01.01.2024 13:59:30;68.44;52.58;59.5;68;60.28;122.1;10;114.1;61.94;01.01.2024 09:15:24;01.01.2024 13:56:08
01.01.2024 16:00:00;01.01.2024 17:00:00;71.23;63.46;67.8;66.86;67.59;36.1;17.2;18.9;69.14;01.01.2024 11:15:24;01.01.2024 14:56:23;72.58;58.47;58.47;71.79;69.2;149.3;123;28.7;69.97;31.12.2023 17:00:29;01.01.2024 14:59:00;72.37;59.47;59.47;68.23;68.03;190.5;170.6;20.4;70.69;31.12.2023 15:00:05;01.01.2024 14:59:10;72.56;61.3;64.6;68.22;67.06;113.7;11;103.2;69.01;01.01.2024 06:46:52;01.01.2024 14:59:00
01.01.2024 17:00:00;01.01.2024 18:00:00;79.22;66.67;70.93;79.22;74.31;117.8;29.7;89.1;76.89;01.01.2024 10:42:04;01.01.2024 15:57:10;79.7;67.03;67.03;77.39;75.27;223.6;190.1;39.4;76.87;01.01.2024 08:03:02;01.01.2024 15:59:34;79.78;64.98;64.98;77.39;72.6;206;180.8;30;77.37;31.12.2023 15:00:05;01.01.2024 15:59:12;79.79;67;67;77.39;71.72;144.8;11;133.8;76.35;01.01.2024 06:46:59;01.01.2024 15:59:12
01.01.2024 18:00:00;01.01.2024 19:00:00;71;61.71;61.86;70.1;66.8;48.4;20.3;28.1;70.25;01.01.2024 11:46:16;01.01.2024 16:56:51;71.8;60.12;66;62.61;66.2;161.8;120.9;43.9;67.23;01.01.2024 08:03:09;01.01.2024 16:59:58;71.79;60.6;61.74;62.97;65.47;249.6;209.1;45.4;67.08;31.12.2023 15:00:05;01.01.2024 16:58:59;71.8;60.6;62.02;61.74;65.57;124.8;17.4;107.4;69.46;31.12.2023 19:24:14;01.01.2024 16:58:59
01.01.2024 19:00:00;01.01.2024 20:00:00;71.55;60.5;60.5;61.25;68.17;75.2;9.8;65.4;64.73;01.01.2024 13:20:23;01.01.2024 17:59:05;71.55;56.1;66.1;61.25;66.53;206.6;144.4;84.3;65.71;01.01.2024 08:03:17;01.01.2024 17:59:06;68.89;57.2;58.17;60.4;63.63;206.5;161.5;71.1;65.87;31.12.2023 15:00:05;01.01.2024 17:59:47;71.55;56.1;66.1;65.5;63.2;200.9;24.4;178;65.8;01.01.2024 06:47:16;01.01.2024 17:59:18
01.01.2024 20:00:00;01.01.2024 21:00:00;58.61;50.6;53.91;52.1;56.03;101.2;63.1;72.2;54.8;01.01.2024 13:21:33;01.01.2024 18:56:24;59.78;45.51;53.91;46.51;53.73;115.9;54.4;61.5;53.46;01.01.2024 13:26:01;01.01.2024 18:59:06;63.08;44;53.99;44;53.69;493.1;426.1;90.2;52.2;31.12.2023 15:00:05;01.01.2024 18:59:19;62.2;47.21;54.5;49.92;54.42;165.2;31.8;133.4;53.78;31.12.2023 18:59:21;01.01.2024 18:59:06
01.01.2024 21:00:00;01.01.2024 22:00:00;67.22;35.91;50.02;40.75;53.84;130.1;36.5;93.6;38.3;31.12.2023 18:01:56;01.01.2024 19:58:39;67.22;28;44;40.33;41.14;267.6;190.4;77.2;32.71;31.12.2023 22:08:27;01.01.2024 19:58:17;67.22;26.91;49.47;44.01;43.92;708.9;548.8;174.1;33.71;31.12.2023 15:00:05;01.01.2024 19:59:14;50.64;29.63;50.53;43.85;41.28;167.4;60;107.4;34.8;01.01.2024 08:35:16;01.01.2024 19:59:03
01.01.2024 22:00:00;01.01.2024 23:00:00;67.11;30.2;40;34.4;43.9;284.2;267.1;43.1;32.8;31.12.2023 22:22:49;01.01.2024 20:56:26;67.11;28.01;44.2;34.65;38.6;290.7;223.4;67.7;31.6;31.12.2023 21:39:09;01.01.2024 20:59:05;48.35;27.9;46.42;38.42;39.97;550.7;508.6;46.1;35.08;31.12.2023 15:00:05;01.01.2024 20:59:52;46.68;29.08;43.4;33.27;39.74;85.8;36.6;49.2;36.74;31.12.2023 21:41:30;01.01.2024 20:51:05
01.01.2024 23:00:00;02.01.2024 00:00:00;45.52;28.7;45.52;29.11;37.7;95;43.8;51.2;29.26;01.01.2024 06:44:42;01.01.2024 21:23:52;41;18;37;18.01;31.13;175.7;129;58.9;26.93;01.01.2024 09:35:54;01.01.2024 21:55:07;45.52;22.72;39.37;29;32.89;421.7;388.5;52.4;29.66;01.01.2024 03:31:16;01.01.2024 21:40:29;43;18.01;42.14;18.01;30.46;123.9;25.6;100.8;28.46;01.01.2024 08:35:08;01.01.2024 21:54:57
02.01.2024 00:00:00;02.01.2024 01:00:00;44.01;25.27;41.02;25.27;36.51;36.2;29.1;8;34.84;01.01.2024 18:45:00;01.01.2024 22:59:00;43.53;25;35.6;25;35.58;142.7;58.6;95.9;34.19;01.01.2024 15:01:35;01.01.2024 22:59:03;40.96;25.1;35.76;25.1;36.32;91;64.2;41.6;34.93;01.01.2024 15:00:17;01.01.2024 22:59:03;44.01;25;44.01;25;35.85;34;5.9;28.1;33.52;01.01.2024 19:06:39;01.01.2024 22:59:00
02.01.2024 01:00:00;02.01.2024 02:00:00;35.5;23;33.56;23;31.71;52.3;48.6;3.7;23.95;01.01.2024 19:06:39;01.01.2024 23:54:17;39.85;18;29.27;35.8;29.63;241.3;58.9;186.4;26.21;01.01.2024 15:00:00;01.01.2024 23:55:00;35.5;21.03;25.97;30.2;30.94;108.6;59.6;59.3;29.73;01.01.2024 15:00:26;01.01.2024 23:59:00;35.63;21.93;35.21;29.72;28.94;44.6;31.9;14;27.66;01.01.2024 18:34:26;01.01.2024 23:59:00
02.01.2024 02:00:00;02.01.2024 03:00:00;32.03;25;32.03;30;31.31;37.5;33.7;3.8;27.43;01.01.2024 19:06:39;02.01.2024 00:33:31;33.94;16.05;29.92;16.9;29.18;218.9;47.6;177.7;25.84;01.01.2024 17:00:27;02.01.2024 00:59:03;32.03;15.9;31.01;21.65;29.12;77.7;59.5;19.8;22.07;01.01.2024 17:05:08;02.01.2024 00:59:28;32.03;15.9;32.03;15.9;26.5;41.1;27.6;16.4;24.32;01.01.2024 19:06:39;02.01.2024 00:59:00
02.01.2024 03:00:00;02.01.2024 04:00:00;34.28;24.08;32.29;33.7;32.31;56.3;54.8;1.9;31.63;01.01.2024 19:06:39;02.01.2024 01:59:02;36.6;21.53;28.04;33;30.34;207.7;48.7;159.8;30.3;01.01.2024 15:00:00;02.01.2024 01:59:51;39.83;23.4;24.78;33.1;29.37;113.2;80.2;41.1;29.63;01.01.2024 15:00:35;02.01.2024 01:59:41;39;24.08;32.29;39;28.52;56;35.7;20.3;27.33;01.01.2024 19:06:39;02.01.2024 01:59:03
02.01.2024 04:00:00;02.01.2024 05:00:00;38.4;25.01;36.7;37.9;37.53;71.2;68.9;2.5;32.14;01.01.2024 19:06:39;02.01.2024 02:54:03;38.4;18.85;20.3;31.8;31.86;209;90;139.3;28.67;01.01.2024 15:00:00;02.01.2024 02:59:04;38.2;21.63;32.67;38.2;28.13;107.9;95;19;28.29;01.01.2024 15:03:03;02.01.2024 02:59:04;36.8;21.44;35.42;36.7;30.92;74.1;40.7;34.7;32.31;01.01.2024 18:55:29;02.01.2024 02:59:03
02.01.2024 05:00:00;02.01.2024 06:00:00;54;12;48.86;34.02;42.2;63.8;48.7;15.1;36.3;01.01.2024 19:06:39;02.01.2024 03:48:10;42.38;12.85;26.83;32.8;33.25;131.6;106.4;47.5;33.46;01.01.2024 15:00:00;02.01.2024 03:59:31;42.5;12.85;39.53;31.7;30.04;169.6;156.9;28.2;31.3;01.01.2024 15:03:15;02.01.2024 03:59:04;48.86;12.85;41.7;33.9;36.32;72.5;31.4;41.5;33.51;01.01.2024 18:55:36;02.01.2024 03:59:03
02.01.2024 06:00:00;02.01.2024 07:00:00;56.75;46.95;51.2;50.59;50.34;242.2;105.8;176.5;52.1;01.01.2024 16:52:58;02.01.2024 04:54:01;60;46.4;49.18;48.52;52.03;348.4;258.1;111.4;53.62;01.01.2024 15:00:53;02.01.2024 04:59:00;56.7;46.3;49.19;49.62;50.16;180.5;161.4;38.7;50.71;01.01.2024 15:00:25;02.01.2024 04:59:00;57.08;46.95;48.64;52.66;51.53;116.1;22.9;96;52.19;01.01.2024 18:01:57;02.01.2024 04:59:18
02.01.2024 07:00:00;02.01.2024 08:00:00;63;49.9;59.74;49.9;59.4;129.9;50.4;80.1;58.39;01.01.2024 19:06:39;02.01.2024 05:47:13;64.3;49.7;57.75;50.62;55.94;275.2;164.1;138;54.99;01.01.2024 21:26:46;02.01.2024 05:59:40;61.07;49.6;58.81;50;53.87;96.5;53;43.5;52.49;01.01.2024 17:00:28;02.01.2024 05:59:40;61.4;49.6;59.86;55.62;55.8;165.3;67.1;106;54.15;01.01.2024 18:56:22;02.01.2024 05:59:00
